Library Version = 7.0

Number of Alloys = 482

Index, Alloy Name,Bal,,Be,,B,,C,,Mg,,Al,,Si,,P,,S,,Ti,,V,,Cr,,Mn,,Fe,,Co,,Ni,,Cu,,Zn,,Se,,Zr,,Nb,,Mo,,Pd,,Ag,,Sn,,Sb,,Hf,,Ta,,W,,Re,,Pb,,Bi,,
,,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,Min, Max,
0,LA-C Steel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.040000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,1.100000,97.500000,99.500000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,
1,Pure Fe,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,99.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,LA-1117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.040000,0.080000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.100000,1.300000,96.000000,99.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,
3,LA-11L17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.040000,0.080000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.100000,1.300000,96.000000,99.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.500000,0.000000,0.000000,
4,LA-1141/44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.040000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.350000,1.650000,95.900002,98.500000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.000000,
5,LA-12L14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.040000,0.090000,0.260000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.850000,1.150000,96.000000,99.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.350000,0.000000,0.000000,
6,LA-1215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.040000,0.090000,0.100000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.750000,1.040000,97.500000,99.500000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.060000,
7,LA-1522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.040000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.100000,1.400000,96.000000,99.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.040000,
8,LA-300M,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,0.460000,0.000000,0.000000,0.000000,0.000000,1.450000,1.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000,0.700000,0.950000,0.600000,0.900000,92.000000,95.000000,0.000000,0.000000,1.650000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
